z_cm,S_std
1.461999999999999936e-06,3.793382974013847546e-06
2.978812500000000205e-06,2.502514187861503739e-06
4.495624999999999838e-06,1.242906826519722877e-06
6.012437500000000319e-06,4.098147859290049660e-07
7.529249999999999952e-06,1.398616874301646276e-06
9.046062500000000433e-06,2.548985244054502668e-06
1.056287500000000176e-05,3.596039335187852878e-06
1.207968750000000139e-05,4.462480631182780167e-06
1.359650000000000103e-05,5.082642435457427578e-06
1.511331250000000066e-05,5.404981485812615024e-06
1.663012500000000029e-05,5.397428524175890531e-06
1.814693749999999993e-05,5.050116979981387633e-06
1.966375000000000295e-05,4.375528174283595736e-06
2.118056250000000258e-05,3.407991786280679487e-06
2.269737500000000222e-05,2.208874545604538878e-06
2.421418750000000185e-05,9.540658538011394425e-07
2.573100000000000148e-05,1.135268996581734113e-06
2.724781250000000112e-05,2.627668194943518348e-06
2.876462500000000075e-05,4.218081088299160508e-06
3.028143750000000038e-05,5.755028161424677693e-06
3.179825000000000002e-05,7.163983689033362039e-06
3.331506250000000304e-05,8.386690933180395712e-06
3.483187499999999928e-05,9.375861360448393730e-06
3.634868750000000231e-05,1.009479098818697090e-05
3.786550000000000533e-05,1.051763447298192930e-05
3.938231250000000157e-05,1.062963616468296536e-05
4.089912500000000460e-05,1.042721278340113551e-05
4.241593750000000084e-05,9.917906312993788576e-06
4.393275000000000386e-05,9.120329367826870244e-06
4.544956250000000011e-05,8.064342819458036901e-06
4.696637500000000313e-05,6.792141551937218457e-06
4.848318749999999937e-05,5.362394060980418349e-06
5.000000000000000240e-05,3.866182094529381179e-06
5.246498428062019553e-05,2.499824032247272332e-06
5.532281708669504675e-05,1.860118189811399335e-06
5.863610732212924383e-05,2.537111904468394619e-06
6.247744197294858735e-05,3.745242402627166087e-06
6.693097633036102444e-05,4.918236352614664203e-06
7.209427765023497482e-05,5.859480851701170981e-06
7.808046263956593689e-05,6.469328636509764918e-06
8.502067559761311392e-05,6.689607559710747330e-06
9.306696150239088250e-05,6.498591255153920352e-06
1.023955969855940950e-04,5.920650351596665165e-06
1.132109521703762451e-04,5.053465551758147065e-06
1.257499679764508980e-04,4.144444641548688587e-06
1.402873469805374356e-04,3.738459600577683946e-06
1.571415715526184849e-04,4.441328531470026620e-06
1.766818811122913217e-04,6.118910233168975597e-06
1.993363613617317334e-04,8.314320439292022534e-06
2.256013227127778571e-04,1.076358762381388119e-05
2.560521733690840568e-04,1.334258506544304343e-05
2.913560252689359172e-04,1.599002046618864411e-05
3.322863090575285889e-04,1.867456439398552094e-05
3.797397182709795092e-04,2.138017792830009304e-05
4.347558539423091654e-04,2.409865737177756251e-05
4.985400000000000074e-04,2.682570777117760502e-05
