z_cm,S_mean
4.687500000000000098e-05,6.298156101985515586e-04
1.406250000000000165e-04,2.782296991768283458e-03
2.343750000000000184e-04,1.749592857746532339e-03
3.281250000000000204e-04,5.487609842371810390e-04
4.218749999999999952e-04,-2.478979344557225603e-04
5.156250000000000243e-04,-1.676501084324587948e-04
6.093750000000001076e-04,-4.560662482699347014e-04
7.031249999999999740e-04,1.745060313818482640e-04
7.968750000000000572e-04,-9.319681775815272134e-06
8.906249999999999237e-04,2.548880218986327651e-05
9.843750000000000069e-04,-3.702297443448547098e-04
1.078125000000000090e-03,-2.274476638346121507e-04
1.171875000000000173e-03,-1.078679319062078438e-04
1.265625000000000040e-03,4.702167222455239928e-04
1.359374999999999906e-03,4.014498959052242052e-04
1.453124999999999990e-03,-2.356846128072466809e-04
1.546875000000000073e-03,-9.757283251528875586e-05
1.640625000000000156e-03,1.042407330054627356e-05
1.734375000000000023e-03,-1.575765474363376590e-05
1.828124999999999889e-03,-5.846513210282861856e-05
1.921874999999999972e-03,-4.657015827134711769e-04
2.015625000000000056e-03,-4.568619486238937677e-04
2.109375000000000139e-03,6.841356647932145588e-05
2.203125000000000222e-03,2.214248265665390769e-05
2.296875000000000305e-03,-2.218545031620274585e-04
2.390624999999999955e-03,-1.042376840620937791e-04
2.484375000000000038e-03,-3.290115269540684183e-04
2.578125000000000121e-03,1.291891260625559249e-05
2.671875000000000205e-03,-3.308689481026067902e-04
2.765624999999999854e-03,2.353820992421342220e-04
2.859374999999999938e-03,3.159501866076612443e-04
2.953125000000000021e-03,-3.215520817067479625e-05
