z_cm,S_std
4.687500000000000098e-05,2.147387129836441326e-05
1.406250000000000165e-04,2.351243770349957258e-03
2.343750000000000184e-04,3.903181236478160763e-03
3.281250000000000204e-04,4.806326645888302565e-03
4.218749999999999952e-04,5.211032170485641220e-03
5.156250000000000243e-04,5.267282508057852600e-03
6.093750000000001076e-04,5.127485767652911926e-03
7.031249999999999740e-04,4.944781282206492205e-03
7.968750000000000572e-04,4.859492187876160788e-03
8.906249999999999237e-04,4.967357659953323262e-03
9.843750000000000069e-04,5.288879218128613932e-03
1.078125000000000090e-03,5.775994466379634137e-03
1.171875000000000173e-03,6.350967266797645505e-03
1.265625000000000040e-03,6.939754644112870047e-03
1.359374999999999906e-03,7.484845900707495954e-03
1.453124999999999990e-03,7.945707202658735049e-03
1.546875000000000073e-03,8.295620053111976699e-03
1.640625000000000156e-03,8.518486832069897818e-03
1.734375000000000023e-03,8.606079175056284558e-03
1.828124999999999889e-03,8.555975948394833538e-03
1.921874999999999972e-03,8.370172452526001422e-03
2.015625000000000056e-03,8.054012133276344104e-03
2.109375000000000139e-03,7.615229591999549477e-03
2.203125000000000222e-03,7.063303724207876770e-03
2.296875000000000305e-03,6.409020699829960990e-03
2.390624999999999955e-03,5.664081005324465325e-03
2.484375000000000038e-03,4.840693916591729679e-03
2.578125000000000121e-03,3.951569460331707043e-03
2.671875000000000205e-03,3.009754466822863687e-03
2.765624999999999854e-03,2.028452508818821744e-03
2.859374999999999938e-03,1.020855744175351533e-03
2.953125000000000021e-03,3.379919864434166414e-07
