reg_weight,lr_max,momentum,mean_ele_error,mean_sele_error,max_ele_error
1.0,0.01,0.8,1.7956922567297677e-18,0.00022971646988805382,9.14535065738212e-18
1.0,0.01,0.9,1.6695284598165504e-18,0.000155970731420348,5.678211823665454e-18
1.0,0.01,0.95,7.443714953498765e-19,0.00028170658428138727,5.713322902074008e-18
1.0,0.02,0.8,1.3284696375517345e-18,0.00019125100826729627,4.766985538832028e-18
1.0,0.02,0.9,6.221350704054286e-19,0.00020335563148349219,3.0708249342206127e-18
1.0,0.02,0.95,1.6036326061509835e-19,0.0008244390200856401,1.1083484924798278e-18
1.0,0.04,0.8,6.231344856677967e-19,0.0001757795432958989,3.2364239587611647e-18
1.0,0.04,0.9,1.602641917543881e-19,0.0005116151551802241,1.2586024063673408e-18
1.0,0.04,0.95,2.197126305262246e-20,0.0027659146435628544,2.847041192023326e-19
2.5,0.01,0.8,2.9808720013906257e-18,0.00014922882373635677,7.713855822261523e-18
2.5,0.01,0.9,2.0218828861346377e-18,0.00011780626927350194,4.484826688877014e-18
2.5,0.01,0.95,4.1520162121915405e-19,0.00013907542693703039,1.7594660078933705e-18
2.5,0.02,0.8,2.182387206768919e-18,0.00013759921368575732,4.4442152673859625e-18
2.5,0.02,0.9,4.2886886633921617e-19,0.00016663269518985945,1.7923123546656388e-18
2.5,0.02,0.95,6.454452804576464e-20,0.0005093222264440321,1.3433699873180937e-18
2.5,0.04,0.8,3.603091370279815e-19,0.0001793874679332733,1.9549137144550806e-18
2.5,0.04,0.9,6.490836542003275e-20,0.0006864706271033954,6.792176956865216e-19
2.5,0.04,0.95,1.617708147347355e-20,0.0032450270586067164,5.365210414185706e-20
5.0,0.01,0.8,3.1734252548284192e-15,3.323484948490179e-05,1.16839429295725e-13
5.0,0.01,0.9,2.1023142814392744e-15,2.210873829216305e-05,2.573851793505195e-14
5.0,0.01,0.95,2.331917114012386e-15,3.461252933092517e-05,2.5636078621098193e-14
5.0,0.02,0.8,2.9948317944913424e-15,3.041507288078531e-05,1.1740185978508337e-13
5.0,0.02,0.9,9.415696027485335e-16,2.975969514991323e-05,1.5913152329500854e-14
5.0,0.02,0.95,7.46745785603856e-16,0.000493503920329846,1.79461782584992e-14
5.0,0.04,0.8,3.4772234642623417e-19,0.00018278374576643087,3.4433159263704748e-18
5.0,0.04,0.9,1.6487714539014699e-16,0.00048807072837768196,1.6326787141618082e-14
5.0,0.04,0.95,9.296201277747499e-14,0.015169420744887016,9.294249919298475e-12
10.0,0.01,0.8,1.0994832656556131e-14,2.4411680307568845e-05,1.5153227919266138e-13
10.0,0.01,0.9,1.2583342361865113e-14,2.514052562483962e-05,1.514984651940123e-13
10.0,0.01,0.95,1.39778091686454e-14,2.5696582990974658e-05,1.5147341254903921e-13
10.0,0.02,0.8,8.282892178660221e-15,2.4535767360576924e-05,1.5182379584275518e-13
10.0,0.02,0.9,8.42653128019752e-15,2.882713985275634e-05,1.5180343993696896e-13
10.0,0.02,0.95,6.114216611046992e-15,0.0015728228822547985,1.5179899655212915e-13
10.0,0.04,0.8,1.1659077664159558e-12,0.022614934318935905,1.1634123524556006e-10
10.0,0.04,0.9,3.958742628839408e-13,0.02742425020063167,3.9466801439225056e-11
10.0,0.04,0.95,1.3116540222447024e-12,0.43088606337410157,8.557117159564604e-11
20.0,0.01,0.8,1.8060594722341596e-14,2.745158122985336e-05,1.5193264463537815e-13
20.0,0.01,0.9,1.7340266905915637e-14,2.6685282086307986e-05,1.3077400867365812e-13
20.0,0.01,0.95,2.3820463184944086e-14,0.011883634929015417,9.010429618917651e-13
20.0,0.02,0.8,1.0830625529953815e-11,0.02599375708813113,1.0525821528655302e-09
20.0,0.02,0.9,2.6759022236717346e-11,1.7528568018178774,8.442714544620268e-10
20.0,0.02,0.95,1.1099561865609637e-10,1.5761968336380963,3.867450914054818e-09
20.0,0.04,0.8,4.7161160755556664e-05,414177777.2382892,0.0023679305276791377
20.0,0.04,0.9,2.1998143285476397,526492846745.04047,219.52169637639335
20.0,0.04,0.95,1.4938581109855051,5886644347775.051,127.98560779783773
