reg_weight,lr_max,momentum,t0,mean_ele_error,mean_sele_error,max_ele_error
1,0.0005,0.75,0.005,9.323006859721103e-09,0.0004125443436782444,2.919993373436498e-08
1,0.0005,0.75,0.02,9.480887854115462e-09,0.0004132419836268684,2.9044742573766662e-08
1,0.0005,0.75,0.1,1.1397051233972247e-08,0.000432821194005302,3.557164684074607e-08
1,0.0005,0.9,0.005,9.946525041641464e-09,0.00034669004491963114,3.967697416453942e-08
1,0.0005,0.9,0.02,1.0374854562733695e-08,0.0003501716584890465,3.963908531342957e-08
1,0.0005,0.9,0.1,7.92682202312431e-09,0.0004392125949401857,4.114700807748633e-08
1,0.002,0.75,0.005,,,
1,0.002,0.75,0.02,,,
1,0.002,0.75,0.1,,,
1,0.002,0.9,0.005,,,
1,0.002,0.9,0.02,,,
1,0.002,0.9,0.1,,,
1,0.005,0.75,0.005,,,
1,0.005,0.75,0.02,,,
1,0.005,0.75,0.1,,,
1,0.005,0.9,0.005,,,
1,0.005,0.9,0.02,,,
1,0.005,0.9,0.1,,,
5,0.0005,0.75,0.005,40.860910948681294,0.5081546508670087,725.544116777648
5,0.0005,0.75,0.02,45.346467490144214,0.3788613079747596,1989.6455340526302
5,0.0005,0.75,0.1,151.43194947343093,1.4684037845838447,1990.2195633061806
5,0.0005,0.9,0.005,32.702068756183564,0.2939725213500379,2018.497988980959
5,0.0005,0.9,0.02,83.340350755087,0.8043176471072467,2276.169038325247
5,0.0005,0.9,0.1,203.34474244658995,1.9263290060872285,2374.0200584901772
5,0.002,0.75,0.005,,,
5,0.002,0.75,0.02,,,
5,0.002,0.75,0.1,,,
5,0.002,0.9,0.005,,,
5,0.002,0.9,0.02,,,
5,0.002,0.9,0.1,,,
5,0.005,0.75,0.005,,,
5,0.005,0.75,0.02,,,
5,0.005,0.75,0.1,,,
5,0.005,0.9,0.005,,,
5,0.005,0.9,0.02,,,
5,0.005,0.9,0.1,,,
15,0.0005,0.75,0.005,1.0236518345244892e+32,6.3624632466491285e+32,2.6062971088339693e+33
15,0.0005,0.75,0.02,1.4507860283454934e+32,2.3029878876092464e+32,4.729984689204811e+33
15,0.0005,0.75,0.1,1.4248225593988954e+32,7.84991194524948e+32,3.3761891116931006e+33
15,0.0005,0.9,0.005,2.2298873808878265e+32,4.359716211923951e+32,2.904139855592151e+33
15,0.0005,0.9,0.02,2.8842766862190042e+32,5.7412534041304244e+32,4.410677330988087e+33
15,0.0005,0.9,0.1,4.056881296352422e+32,2.3789489014487363e+33,3.7764453998615153e+33
15,0.002,0.75,0.005,,,
15,0.002,0.75,0.02,,,
15,0.002,0.75,0.1,,,
15,0.002,0.9,0.005,,,
15,0.002,0.9,0.02,,,
15,0.002,0.9,0.1,,,
15,0.005,0.75,0.005,,,
15,0.005,0.75,0.02,,,
15,0.005,0.75,0.1,,,
15,0.005,0.9,0.005,,,
15,0.005,0.9,0.02,,,
15,0.005,0.9,0.1,,,
